UV_0,AL_0,Mx_0,My_0,Mz_0,time_0,UV_1,AL_1,Mx_1,My_1,Mz_1,time_1,UV_2,AL_2,Mx_2,My_2,Mz_2,time_2,UV_3,AL_3,Mx_3,My_3,Mz_3,time_3,lon_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,Altitude_GPS,time_GPS,temperature,pressure_log,Pressure,Altitude_est,Vertical speed,RSSI
1228,60853,-0.551181,0.598425,0.740157,11:24:33,175,4155,-0.188976,0.614173,0.755906,11:24:33,205,6799,-0.094488,0.645669,0.748031,11:24:33,430,33639,0.015748,0.629921,0.76378,11:24:34,16,1,44,69,17,45,28,11:24:33,4.5,63360,100708.9619,24.42,-1229.13,-96
224,4983,0.047244,0.212598,0.968504,11:24:35,24767,5719,0.897638,0.204724,0.96063,11:24:36,1123,36012,0.19685,0.212598,0.952756,11:24:35,756,37898,0.267717,0.188976,0.937008,11:24:35,16,1,44,69,17,44,41,11:24:35,-18.5,64980,135203.7337,-2433.84,622.31,-92
205,4600,0.377953,0.094488,0.913386,11:24:39,202,5831,0.393701,0.094488,0.905512,11:24:39,178,4788,0.417323,0.110236,0.897638,11:24:39,755,58838,0.409449,0.11811,0.897638,11:24:39,16,1,45,69,17,45,60,11:24:39,3.5,63339,100325.1661,55.39,5.16,-91
1249,60853,-0.275591,-0.07874,0.952756,11:24:41,194,4508,-0.23622,-0.141732,0.96063,11:24:41,170,5945,-0.188976,-0.19685,0.96063,11:24:41,153,4070,-0.149606,-0.23622,0.952756,11:24:41,16,1,45,69,17,45,70,11:24:41,3,63332,100197.5595,65.71,4.42,-92
189,5288,0.330709,0.267717,0.897638,11:24:43,138,3441,0.314961,0.267717,0.905512,11:24:43,234,6061,0.299213,0.267717,0.913386,11:24:44,215,4600,0.267717,0.291339,0.913386,11:24:44,16,1,45,69,17,45,77,11:24:43,3.5,63326,100088.3115,74.55,2.95,-94
226,5288,0.141732,-0.062992,0.984252,11:24:49,186,4885,0.125984,-0.055118,0.984252,11:24:49,162,4788,0.070866,-0.086614,0.992126,11:24:49,771,44151,0.015748,-0.110236,0.992126,11:24:49,16,1,47,69,17,45,94,11:24:48,3,63316,99906.49631,89.29,1.47,-94
267,5185,-0.503937,-0.251969,0.818898,11:24:51,1092,39879,-0.448819,-0.204724,0.858268,11:24:51,123,3905,-0.448819,-0.181102,0.866142,11:24:51,177,4508,-0.409449,-0.141732,0.897638,11:24:51,16,1,47,69,17,45,98,11:24:50,3,63314,99870.17292,92.23,3.68,-95
165,5288,0.614173,-0.535433,0.566929,11:24:53,316,27394,0.590551,-0.582677,0.543307,11:24:53,1094,59837,0.559055,-0.614173,0.543307,11:24:53,136,4155,0.535433,-0.645669,0.527559,11:24:53,16,1,47,69,17,45,106,11:24:52,3,63309,99779.4222,99.6,2.95,-92
170,5288,0.637795,0.244094,0.724409,11:24:54,133,3441,0.629921,0.165354,0.748031,11:24:54,1095,50550,0.614173,0.133858,0.76378,11:24:54,200,4508,0.606299,0.094488,0.779528,11:24:55,16,1,47,69,17,45,114,11:24:54,3.5,63305,99706.881,105.49,5.89,-92
1086,45672,-0.472441,0.094488,0.866142,11:24:56,412,6421,-0.464567,0.094488,0.874016,11:24:57,117,4070,-0.480315,0.07874,0.866142,11:24:56,235,5719,-0.503937,0.070866,0.858268,11:24:56,16,1,47,69,17,45,123,11:24:56,3.5,63297,99561.95678,117.27,4.42,-88
