time_GPS,Pressure (Pa),Altitude_estimate (m),Altitude_Corrected (m)
11:24:33,100708.9619,24.42201313,28
11:24:35,135203.7337,-2433.840809,41
11:24:39,100325.1661,55.39287312,60
11:24:41,100197.5595,65.71149612,70
11:24:43,100088.3115,74.55404231,77
11:24:48,99906.49631,89.2875428,94
11:24:50,99870.17292,92.23363155,98
11:24:52,99779.4222,99.59796205,106
11:24:54,99706.881,105.4885097,114
11:24:56,99561.95678,117.267161,123
11:24:58,99453.40187,126.0990112,134
11:25:00,99272.73997,140.8146901,147
11:25:02,99164.5004,149.6416551,158
09:52:57,664.5045365,26269.0489,52389
11:25:07,98876.43815,173.1712766,181
11:25:09,98786.59041,180.5216138,186
11:25:11,98696.82432,187.8706803,199
11:25:13,98571.28881,198.1572388,209
11:25:15,98445.91297,208.4413076,220
11:25:17,98338.5749,217.2542425,229
11:25:19,98231.35386,226.0653491,238
07:43:29,98142.0923,233.4065416,52277
11:25:23,98017.26236,243.6820787,254
11:25:26,97892.5912,253.9551288,266
11:25:28,97768.07861,264.2256925,275
11:25:30,97696.99967,270.0934699,282
11:25:32,97625.97241,275.9604357,286
11:25:34,97554.99679,281.82659,292
11:25:36,97466.34982,289.1581419,300
11:25:38,97430.91359,292.0904077,304
11:25:40,97342.37937,299.4201851,309
11:25:42,97253.9256,306.7486953,317
11:25:44,97130.22534,317.006481,326
11:25:47,96936.15703,333.1208426,342
11:25:49,96865.68291,338.9790908,348
11:25:51,96795.26002,344.8365288,356
11:25:53,96636.99566,358.0128022,366
11:25:55,96566.73904,363.8676076,375
11:25:57,96461.44985,372.6482972,383
11:25:59,96391.32085,378.5010783,390
11:26:01,96286.22293,387.278732,397
11:26:03,96198.72886,394.5920524,405
11:26:05,96093.84093,403.3663679,413
11:26:08,95971.6162,413.6007686,424
11:26:10,95866.97589,422.3711405,431
11:26:12,95797.27907,428.2170442,438
11:26:16,95623.25863,442.8282662,453
11:26:18,95518.99813,451.5925744,460
11:26:20,95432.20123,458.8947757,467
11:26:22,95328.14905,467.6557507,475
11:26:24,95241.52557,474.9551748,484
11:26:26,95154.9808,482.2533368,492
11:26:28,95051.23087,491.0094658,499
11:26:31,94930.33226,501.2226537,511
11:26:33,94826.82727,509.9748473,519
11:26:35,94723.43514,518.725225,528
11:26:37,94585.7543,530.3895716,539
11:26:39,94465.44773,540.593228,549
11:26:41,94379.60817,547.880042,557
11:26:43,94310.99268,553.7085862,563
11:26:45,94208.16297,562.4498908,571
11:26:47,94122.55719,569.732926,578
11:26:49,94019.93294,578.4709062,587
11:26:52,93832.07899,594.4858286,603
11:26:54,93678.65951,607.5844165,614
11:26:56,93542.49724,619.2241838,626
11:26:58,93440.50543,627.9518964,636
11:27:00,93338.62482,636.6777983,645
11:27:02,93236.8553,645.4018899,654
11:27:04,93135.19673,654.1241716,663
11:27:06,93016.73515,664.2978798,672
11:27:08,92915.31659,673.0162413,681
11:27:11,92729.66967,688.9952065,697
11:27:13,92645.40737,696.2563635,705
11:27:15,92544.39367,704.9680947,714
11:27:17,92443.4901,713.6780186,723
11:27:19,92342.69656,722.3861355,731
11:27:21,92242.01291,731.0924458,739
11:27:23,92158.19373,738.3463246,747
11:27:25,92057.71124,747.0493238,755
11:27:27,91957.33832,755.7505174,764
11:27:29,91857.07483,764.4499058,772
11:27:31,91756.92066,773.1474894,781
11:27:34,91606.89412,786.1904817,795
11:27:36,91490.37642,796.3322251,805
11:27:38,91374.00691,806.4715139,814
11:27:40,91241.19443,818.0562676,825
11:27:42,91092.01111,831.0852852,837
11:27:44,90976.1483,841.2161625,848
11:27:46,90827.39834,854.2379733,861
11:27:48,90711.87209,864.3632468,871
11:27:50,90596.49278,874.4860696,881
11:27:53,90431.91973,888.9429951,896
11:27:55,90316.8965,899.0598688,906
11:27:57,90185.62051,910.6190119,916
11:27:59,90070.91055,920.7306392,927
11:28:01,89923.64068,933.7277068,939
11:28:03,89809.26393,943.833741,949
11:28:05,89662.42186,956.8236194,962
11:28:07,89532.09714,968.3667846,975
11:28:09,89353.20989,984.2334234,990
11:28:11,89190.8953,998.6524041,1004
11:28:14,89012.68977,1014.507525,1020
11:28:16,88899.47168,1024.594007,1031
11:28:18,88786.3976,1034.678049,1040
11:28:20,88673.46734,1044.759649,1050
11:28:22,88528.48232,1057.718122,1062
11:28:24,88431.95736,1066.354863,1072
11:28:26,88303.42111,1077.867731,1083
11:28:28,88175.07168,1089.377415,1095
11:28:30,88046.90881,1100.883915,1107
11:28:32,87934.91912,1110.949491,1116
11:28:35,87711.36688,1131.073336,1136
11:28:37,87567.95492,1144.00495,1149
11:28:39,87456.57441,1154.060089,1159
11:28:41,87329.45587,1165.548697,1170
11:28:43,87218.37872,1175.598623,1181
11:28:45,87091.60638,1187.081273,1191
11:28:47,86949.20775,1199.995458,1204
11:28:49,86822.82666,1211.47136,1216
11:28:51,86680.86748,1224.377956,1230
11:28:53,86539.14042,1237.280535,1241
11:28:56,86381.93766,1251.612026,1256
11:28:58,86256.38109,1263.07365,1267
11:29:00,86146.6688,1273.099971,1276
11:29:02,86037.09606,1283.123865,1286
11:29:04,85943.28749,1291.713844,1297
11:29:06,85818.36849,1303.164376,1306
11:29:08,85709.21332,1313.180993,1317
11:29:10,85569.07493,1326.055939,1328
11:29:12,85444.69984,1337.496972,1340
11:29:14,85320.50554,1348.93484,1352
11:29:16,85196.49174,1360.369545,1362
11:29:19,85010.80894,1377.515671,1379
11:29:21,84856.38245,1391.798676,1392
11:29:23,84733.04325,1403.221524,1405
11:29:25,84579.12132,1417.495641,1418
11:29:27,84425.479,1431.764823,1432
11:29:29,84287.43955,1444.602868,1446
11:29:31,84149.6258,1457.436918,1459
11:29:33,83981.49274,1473.117557,1473
11:29:35,83828.93603,1487.367507,1488
11:29:38,83707.09021,1498.76392,1502
11:29:40,83585.4215,1510.157181,1512
11:29:42,83463.92963,1521.54729,1523
11:29:44,83342.61435,1532.934249,1535
11:29:46,83236.60813,1542.895254,1546
11:29:48,83115.62325,1554.276308,1557
11:29:50,82994.81423,1565.654214,1567
11:29:52,82889.25039,1575.6073,1579
11:29:54,82783.82081,1585.557976,1588
11:29:56,82678.52533,1595.506245,1599
11:29:58,82558.35162,1606.872746,1609
11:30:01,82423.36498,1619.656302,1622
11:30:03,82333.49651,1628.176462,1631
11:30:05,82198.87751,1640.953389,1643
11:30:07,82124.18431,1648.049963,1652
11:30:09,81989.90753,1660.820706,1663
11:30:11,81870.73472,1672.169141,1674
11:30:13,81766.60062,1682.096446,1684
11:30:15,81677.44823,1690.603653,1693
11:30:17,81573.55997,1700.526496,1702
11:30:20,81395.77313,1717.531498,1719
11:30:22,81277.46389,1728.864247,1731
11:30:24,81174.08437,1738.77783,1741
11:30:26,81056.09735,1750.104701,1751
11:30:28,80938.28182,1761.42844,1763
11:30:30,80835.33372,1771.334141,1773
11:30:32,80747.19671,1779.822835,1782
11:30:34,80629.83017,1791.138353,1792
11:30:36,80512.63421,1802.450741,1803
11:30:38,80410.2275,1812.346514,1814
11:30:41,80249.56576,1827.892175,1829
11:30:43,80162.06742,1836.369135,1839
11:30:45,80045.55136,1847.669012,1849
